Data;23079 - Transações Correntes acumulado em 12 meses em relação ao PIB - mensal - %
01/1999;-4,18
02/1999;-4,23
03/1999;-4,29
04/1999;-4,38
05/1999;-4,46
06/1999;-4,65
07/1999;-4,74
08/1999;-4,94
09/1999;-4,57
10/1999;-4,35
11/1999;-4,44
12/1999;-4,47
01/2000;-4,20
02/2000;-4,19
03/2000;-4,14
04/2000;-4,18
05/2000;-4,16
06/2000;-4,05
07/2000;-3,98
08/2000;-3,88
09/2000;-3,91
10/2000;-4,05
11/2000;-4,08
12/2000;-4,05
01/2001;-4,29
02/2001;-4,43
03/2001;-4,59
04/2001;-4,54
05/2001;-4,68
06/2001;-4,70
07/2001;-4,87
08/2001;-4,88
09/2001;-4,82
10/2001;-4,71
11/2001;-4,58
12/2001;-4,45
01/2002;-4,29
02/2002;-4,20
03/2002;-3,94
04/2002;-3,90
05/2002;-3,89
06/2002;-3,76
07/2002;-3,51
08/2002;-3,26
09/2002;-2,88
10/2002;-2,43
11/2002;-2,17
12/2002;-1,85
01/2003;-1,60
02/2003;-1,43
03/2003;-1,20
04/2003;-0,99
05/2003;-0,44
06/2003;-0,10
07/2003;0,15
08/2003;0,33
09/2003;0,33
10/2003;0,34
11/2003;0,33
12/2003;0,39
01/2004;0,47
02/2004;0,52
03/2004;0,59
04/2004;0,61
05/2004;0,69
06/2004;0,92
07/2004;1,06
08/2004;1,12
09/2004;1,16
10/2004;1,28
11/2004;1,25
12/2004;1,34
01/2005;1,34
02/2005;1,30
03/2005;1,42
04/2005;1,60
05/2005;1,44
06/2005;1,30
07/2005;1,37
08/2005;1,22
09/2005;1,27
10/2005;1,22
11/2005;1,41
12/2005;1,31
01/2006;1,15
02/2006;1,18
03/2006;1,09
04/2006;1,01
05/2006;0,97
06/2006;0,89
07/2006;0,92
08/2006;1,03
09/2006;1,01
10/2006;1,05
11/2006;1,00
12/2006;0,97
01/2007;0,95
02/2007;0,91
03/2007;0,81
04/2007;0,93
05/2007;0,86
06/2007;0,82
07/2007;0,48
08/2007;0,40
09/2007;0,25
10/2007;0,10
11/2007;-0,12
12/2007;-0,20
01/2008;-0,50
02/2008;-0,66
03/2008;-0,96
04/2008;-1,26
05/2008;-1,28
06/2008;-1,46
07/2008;-1,56
08/2008;-1,68
09/2008;-1,85
10/2008;-1,93
11/2008;-1,92
12/2008;-2,10
01/2009;-2,05
02/2009;-2,00
03/2009;-1,86
04/2009;-1,68
05/2009;-1,75
06/2009;-1,62
07/2009;-1,59
08/2009;-1,56
09/2009;-1,51
10/2009;-1,57
