"Data","Último","Abertura","Máxima","Mínima","Var%"
"17.01.2025","15,125","15,125","15,125","15,125","0,03%"
"16.01.2025","15,120","15,060","15,120","15,060","0,43%"
"15.01.2025","15,055","15,055","15,055","15,055","-0,56%"
"14.01.2025","15,140","15,180","15,180","15,140","-0,20%"
"13.01.2025","15,170","15,285","15,285","15,170","-0,95%"
"10.01.2025","15,315","15,255","15,315","15,255","0,96%"
"09.01.2025","15,170","15,175","15,175","15,170","-0,13%"
"08.01.2025","15,190","15,190","15,190","15,190","-0,03%"
"07.01.2025","15,195","15,230","15,230","15,195","-0,52%"
"06.01.2025","15,275","15,230","15,275","15,230","-0,75%"
"03.01.2025","15,390","15,415","15,415","15,390","-1,28%"
"02.01.2025","15,590","15,590","15,590","15,590","-1,24%"
"30.12.2024","15,785","15,760","15,785","15,760","0,80%"
"27.12.2024","15,660","15,660","15,660","15,660","0,45%"
"26.12.2024","15,590","15,590","15,590","15,590","1,37%"
"23.12.2024","15,380","15,380","15,380","15,380","0,49%"
"20.12.2024","15,305","15,305","15,305","15,305","-1,23%"
"19.12.2024","15,495","16,075","16,075","15,495","-0,77%"
"18.12.2024","15,615","15,615","15,615","15,615","2,43%"
"17.12.2024","15,245","15,375","15,375","15,245","-0,16%"
"16.12.2024","15,270","15,270","15,270","15,270","2,21%"
"13.12.2024","14,940","14,930","14,940","14,930","0,37%"
"12.12.2024","14,885","14,885","14,885","14,885","2,97%"
"11.12.2024","14,455","14,455","14,455","14,455","-1,73%"
"10.12.2024","14,710","14,710","14,710","14,710","-0,14%"
"09.12.2024","14,730","14,597","14,730","14,597","2,26%"
"06.12.2024","14,405","14,405","14,405","14,405","0,73%"
"05.12.2024","14,300","14,205","14,300","14,205","0,49%"
"04.12.2024","14,230","14,230","14,230","14,230","0,44%"
"03.12.2024","14,167","14,167","14,167","14,167","1,69%"
"02.12.2024","13,932","14,010","14,010","13,932","-0,91%"
"29.11.2024","14,060","14,318","14,318","14,060","0,99%"
"28.11.2024","13,922","13,795","13,922","13,795","2,01%"
"27.11.2024","13,648","13,413","13,648","13,413","1,91%"
"26.11.2024","13,392","13,387","13,392","13,387","0,16%"
"25.11.2024","13,370","13,382","13,383","13,370","-0,04%"
"22.11.2024","13,375","13,345","13,375","13,345","0,55%"
"21.11.2024","13,302","13,358","13,358","13,302","-0,58%"
"19.11.2024","13,380","13,450","13,450","13,380","-0,22%"
"18.11.2024","13,410","13,410","13,410","13,410","0,83%"
"14.11.2024","13,300","13,313","13,375","13,300","0,00%"
"12.11.2024","13,300","13,158","13,300","13,158","0,49%"
"11.11.2024","13,235","13,248","13,248","13,235","0,34%"
"08.11.2024","13,190","13,205","13,205","13,190","0,50%"
"07.11.2024","13,125","13,025","13,125","13,025","1,47%"
"06.11.2024","12,935","13,090","13,090","12,935","-0,04%"
"05.11.2024","12,940","13,045","13,045","12,940","-0,86%"
"04.11.2024","13,052","13,042","13,052","13,042","-0,71%"
"01.11.2024","13,145","12,967","13,145","12,967","1,92%"
"31.10.2024","12,898","12,863","12,898","12,863","0,35%"
"30.10.2024","12,853","12,852","12,853","12,852","0,22%"
"29.10.2024","12,825","12,752","12,825","12,752","0,23%"
"28.10.2024","12,795","12,740","12,795","12,740","0,27%"
"25.10.2024","12,760","12,760","12,760","12,760","-0,22%"
"24.10.2024","12,788","12,903","12,903","12,788","-0,73%"
"23.10.2024","12,882","12,847","12,882","12,847","0,52%"
"22.10.2024","12,815","12,807","12,815","12,807","-0,17%"
