"Data","Último","Abertura","Máxima","Mínima","Var%"
"17.01.2025","15,220","15,220","15,220","15,220","0,43%"
"16.01.2025","15,155","15,045","15,155","15,045","0,17%"
"15.01.2025","15,130","15,130","15,130","15,130","-1,34%"
"14.01.2025","15,335","15,435","15,435","15,335","-0,39%"
"13.01.2025","15,395","15,490","15,490","15,395","-0,52%"
"10.01.2025","15,475","15,345","15,475","15,345","1,54%"
"09.01.2025","15,240","15,335","15,335","15,240","-0,46%"
"08.01.2025","15,310","15,310","15,310","15,310","0,53%"
"07.01.2025","15,230","15,190","15,230","15,190","-0,49%"
"06.01.2025","15,305","15,260","15,305","15,260","-1,77%"
"03.01.2025","15,580","15,515","15,580","15,515","-1,20%"
"02.01.2025","15,770","15,770","15,770","15,770","-0,57%"
"30.12.2024","15,860","15,780","15,860","15,780","1,44%"
"27.12.2024","15,635","15,635","15,635","15,635","1,59%"
"26.12.2024","15,390","15,390","15,390","15,390","1,89%"
"23.12.2024","15,105","15,105","15,105","15,105","0,97%"
"20.12.2024","14,960","14,950","14,960","14,950","-3,05%"
"19.12.2024","15,430","16,095","16,095","15,430","-0,26%"
"18.12.2024","15,470","15,470","15,470","15,470","2,59%"
"17.12.2024","15,080","15,425","15,425","15,080","-1,21%"
"16.12.2024","15,265","15,265","15,265","15,265","4,55%"
"13.12.2024","14,600","14,460","14,600","14,460","0,72%"
"12.12.2024","14,495","14,495","14,495","14,495","1,54%"
"11.12.2024","14,275","14,275","14,275","14,275","-2,43%"
"10.12.2024","14,630","14,630","14,630","14,630","-0,71%"
"09.12.2024","14,735","14,525","14,735","14,525","3,22%"
"06.12.2024","14,275","14,275","14,275","14,275","0,85%"
"05.12.2024","14,155","14,105","14,155","14,105","-0,11%"
"04.12.2024","14,170","14,170","14,170","14,170","-0,18%"
"03.12.2024","14,195","14,195","14,195","14,195","2,57%"
"02.12.2024","13,840","13,880","13,880","13,840","-0,18%"
"29.11.2024","13,865","14,375","14,375","13,865","0,25%"
"28.11.2024","13,830","13,675","13,830","13,675","2,37%"
"27.11.2024","13,510","13,220","13,510","13,220","2,70%"
"26.11.2024","13,155","13,140","13,155","13,140","-0,04%"
"25.11.2024","13,160","13,190","13,190","13,160","-0,45%"
"22.11.2024","13,220","13,205","13,220","13,205","0,46%"
"21.11.2024","13,160","13,280","13,280","13,160","-0,83%"
"19.11.2024","13,270","13,305","13,305","13,270","0,00%"
"18.11.2024","13,270","13,270","13,270","13,270","0,64%"
"14.11.2024","13,185","13,250","13,250","13,185","0,04%"
"12.11.2024","13,180","13,010","13,180","13,010","1,19%"
"11.11.2024","13,025","13,075","13,075","13,025","0,00%"
"08.11.2024","13,025","13,025","13,025","13,025","0,08%"
"07.11.2024","13,015","12,850","13,015","12,850","0,81%"
"06.11.2024","12,910","13,115","13,115","12,910","-0,62%"
"05.11.2024","12,990","13,120","13,120","12,990","-1,14%"
"04.11.2024","13,140","13,100","13,140","13,100","-0,87%"
"01.11.2024","13,255","13,055","13,255","13,055","2,10%"
"31.10.2024","12,983","12,910","12,983","12,910","0,22%"
"30.10.2024","12,955","12,955","12,955","12,955","0,19%"
