"Data","Último","Abertura","Máxima","Mínima","Var%"
"11.06.2018","2,952","2,952","2,970","2,950","0,13%"
"08.06.2018","2,948","2,941","2,950","2,889","0,88%"
"07.06.2018","2,922","2,977","2,994","2,884","-1,73%"
"06.06.2018","2,974","2,928","2,981","2,926","1,63%"
"05.06.2018","2,926","2,939","2,942","2,900","-0,62%"
"04.06.2018","2,944","2,908","2,946","2,902","1,45%"
"01.06.2018","2,902","2,862","2,926","2,860","1,46%"
"31.05.2018","2,860","2,846","2,886","2,822","0,13%"
"30.05.2018","2,857","2,763","2,888","2,763","2,40%"
"29.05.2018","2,790","2,900","2,908","2,759","-3,75%"
"28.05.2018","2,898","2,931","2,931","2,895","-1,12%"
"25.05.2018","2,931","2,975","2,997","2,922","-1,54%"
"24.05.2018","2,977","3,001","3,014","2,955","-0,55%"
"23.05.2018","2,993","3,058","3,065","2,990","-2,28%"
"22.05.2018","3,063","3,058","3,080","3,050","0,18%"
"21.05.2018","3,058","3,080","3,084","3,054","-0,06%"
"18.05.2018","3,060","3,119","3,128","3,058","-1,78%"
"17.05.2018","3,115","3,098","3,122","3,087","0,36%"
"16.05.2018","3,104","3,070","3,104","3,058","1,03%"
"15.05.2018","3,072","3,004","3,095","2,997","2,33%"
"14.05.2018","3,002","2,975","3,004","2,959","1,11%"
"11.05.2018","2,970","2,966","2,982","2,948","0,19%"
"10.05.2018","2,964","2,995","2,995","2,948","-1,40%"
"09.05.2018","3,006","2,976","3,014","2,976","1,14%"
"08.05.2018","2,972","2,952","2,987","2,944","0,70%"
"07.05.2018","2,952","2,951","2,961","2,937","0,00%"
"04.05.2018","2,951","2,950","2,965","2,911","0,13%"
"03.05.2018","2,948","2,970","2,978","2,927","-0,94%"
"02.05.2018","2,976","2,968","2,996","2,957","0,25%"
"01.05.2018","2,968","2,959","2,979","2,949","0,44%"
"30.04.2018","2,955","2,966","2,972","2,934","-0,13%"
"27.04.2018","2,959","2,987","2,988","2,955","-0,81%"
"26.04.2018","2,983","3,024","3,033","2,981","-1,61%"
"25.04.2018","3,032","2,994","3,035","2,990","1,07%"
"24.04.2018","3,000","2,975","3,003","2,957","0,76%"
"23.04.2018","2,977","2,968","2,998","2,962","0,57%"
"20.04.2018","2,960","2,917","2,962","2,904","1,60%"
"19.04.2018","2,914","2,875","2,934","2,862","1,35%"
"18.04.2018","2,875","2,829","2,876","2,823","1,56%"
"17.04.2018","2,830","2,832","2,849","2,814","0,07%"
"16.04.2018","2,829","2,841","2,865","2,825","0,13%"
"13.04.2018","2,825","2,827","2,849","2,816","-0,64%"
"12.04.2018","2,843","2,783","2,843","2,772","2,31%"
"11.04.2018","2,779","2,803","2,805","2,755","-0,78%"
"10.04.2018","2,801","2,783","2,812","2,779","0,72%"
"09.04.2018","2,781","2,786","2,814","2,772","0,20%"
"06.04.2018","2,775","2,817","2,830","2,768","-2,06%"
"05.04.2018","2,834","2,808","2,838","2,805","0,91%"
"04.04.2018","2,808","2,773","2,810","2,748","0,99%"
"03.04.2018","2,781","2,737","2,790","2,735","1,73%"
"02.04.2018","2,733","2,759","2,773","2,717","-0,27%"
"29.03.2018","2,741","2,784","2,792","2,739","-1,50%"
"28.03.2018","2,783","2,781","2,790","2,743","0,26%"
"27.03.2018","2,775","2,854","2,859","2,770","-2,69%"
"26.03.2018","2,852","2,819","2,856","2,815","1,37%"
"23.03.2018","2,813","2,806","2,852","2,792","-0,32%"
"22.03.2018","2,823","2,881","2,889","2,799","-2,03%"
