Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;4151 - Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional-posição em carteira - Total emitido - u.m.c. (milhões)
01/1999;0,70 ;509.708,45
02/1999;1,05 ;524.143,80
03/1999;1,10 ;529.053,41
04/1999;0,56 ;532.156,78
05/1999;0,30 ;473.086,44
06/1999;0,19 ;489.569,94
07/1999;1,09 ;490.676,13
08/1999;0,56 ;509.540,93
09/1999;0,31 ;512.308,28
10/1999;1,19 ;517.386,95
11/1999;0,95 ;521.530,21
12/1999;0,60 ;508.733,69
01/2000;0,62 ;516.533,43
02/2000;0,13 ;518.095,21
03/2000;0,22 ;528.168,35
04/2000;0,42 ;531.818,92
05/2000;0,01 ;515.467,85
06/2000;0,23 ;527.533,61
07/2000;1,61 ;544.270,40
08/2000;1,31 ;547.987,82
09/2000;0,23 ;554.100,89
10/2000;0,14 ;553.717,57
11/2000;0,32 ;549.057,54
12/2000;0,59 ;555.912,50
01/2001;0,57 ;563.192,37
02/2001;0,46 ;564.886,86
03/2001;0,38 ;577.788,27
04/2001;0,58 ;582.725,24
05/2001;0,41 ;584.475,42
06/2001;0,52 ;613.655,32
07/2001;1,33 ;626.690,46
08/2001;0,70 ;630.385,57
09/2001;0,28 ;647.890,56
10/2001;0,83 ;672.349,47
11/2001;0,71 ;675.976,64
12/2001;0,65 ;687.328,70
01/2002;0,52 ;699.812,73
02/2002;0,36 ;707.302,00
03/2002;0,60 ;708.651,06
04/2002;0,80 ;726.481,82
05/2002;0,21 ;740.721,38
06/2002;0,42 ;758.693,06
07/2002;1,19 ;815.083,80
08/2002;0,65 ;798.035,70
09/2002;0,72 ;841.033,01
10/2002;1,31 ;822.704,30
11/2002;3,02 ;834.452,75
12/2002;2,10 ;838.795,61
01/2003;2,25 ;871.890,25
02/2003;1,57 ;888.243,88
03/2003;1,23 ;897.663,33
04/2003;0,97 ;895.570,44
05/2003;0,61 ;919.106,91
06/2003;-0,15 ;931.389,11
07/2003;0,20 ;956.382,99
08/2003;0,34 ;965.698,04
09/2003;0,78 ;987.096,19
10/2003;0,29 ;995.698,93
11/2003;0,34 ;1.001.705,24
12/2003;0,52 ;978.104,22
01/2004;0,76 ;985.463,41
02/2004;0,61 ;997.279,08
03/2004;0,47 ;1.021.157,37
04/2004;0,37 ;1.026.218,63
05/2004;0,51 ;1.014.637,13
06/2004;0,71 ;1.034.901,51
07/2004;0,91 ;1.035.759,32
08/2004;0,69 ;1.043.310,68
09/2004;0,33 ;1.054.818,50
10/2004;0,44 ;1.061.710,20
11/2004;0,69 ;1.070.136,94
12/2004;0,86 ;1.099.535,01
01/2005;0,58 ;1.114.279,34
02/2005;0,59 ;1.126.768,98
03/2005;0,61 ;1.156.104,92
04/2005;0,87 ;1.156.882,11
05/2005;0,49 ;1.176.549,99
06/2005;-0,02 ;1.197.913,07
07/2005;0,25 ;1.208.259,45
08/2005;0,17 ;1.216.024,30
09/2005;0,35 ;1.233.065,10
