Date,Actual Cotacao,Predicted Cotacao,Lower Bound,Upper Bound
2002.0-1.0,2.413,2.429646092007273,2.424794470159891,2.434497713854655
2002.0-2.0,2.365,2.4716240466401276,2.4668585965428713,2.476389496737384
2002.0-4.0,2.361,2.3005153430253493,2.2960378779241593,2.3049928081265394
2002.0-5.0,2.518,2.371723835657849,2.2966673794972916,2.4467802918184063
2002.0-6.0,2.8175,2.5276833283246543,2.5219843055962228,2.5333823510530857
2002.0-7.0,3.46,2.749276999705699,2.6661664746815337,2.8323875247298647
2002.0-8.0,3.0075,4.0406799499548125,4.029885346409706,4.051474553499919
2002.0-9.0,3.76,2.828686310662729,2.531186165068382,3.1261864562570763
2002.0-10.0,3.65,3.977818879634979,3.8164559317560727,4.139181827513886
2002.0-11.0,3.653,3.886562321929476,3.702007834670063,4.071116809188889
2003.0-1.0,3.504,2.739603203447003,2.6245137467651634,2.8546926601288427
2003.0-2.0,3.57,3.2283905646204856,3.065011011575434,3.391770117665537
2003.0-4.0,2.911,3.308855513115646,3.1317055886002265,3.486005437631065
2003.0-5.0,2.9735,2.6862015033018105,2.4569867620692993,2.9154162445343217
2003.0-9.0,2.8925,3.1837102311599987,3.0734295200641886,3.293990942255809
2003.0-10.0,2.8665,3.0531639192253124,2.868930357762698,3.237397480687927
2006.0-3.0,2.164,1.939678374381308,1.7541672207955128,2.125189527967103
2006.0-5.0,2.3051,2.0539574770126343,1.8437034880335108,2.264211465991758
2008.0-7.0,1.567,2.2453922196363036,2.07539572679238,2.4153887124802274
2008.0-9.0,1.9066,1.5337949292364523,1.3231867689108363,1.7444030895620684
2008.0-10.0,2.1642,1.756728728434327,1.559519699184525,1.9539377576841288
2008.0-11.0,2.3034,2.0155776598703,1.8009140446705991,2.230241275070001
2011.0-9.0,1.879,1.5642079193267722,1.3781811977538987,1.7502346408996456
2013.0-6.0,2.2315,2.0224607375305728,1.822436794066399,2.2224846809947465
2014.0-9.0,2.4449,2.2062132589319776,2.015698492013079,2.396728025850876
2014.0-12.0,2.657,2.458736947544675,2.2695102273276735,2.647963667761677
2015.0-2.0,2.838,2.5918671141063494,2.401098570307607,2.7826356579050917
2015.0-3.0,3.1947,2.7374439240726867,2.5535191226670575,2.921368725478316
2015.0-7.0,3.4204,3.1420039910059794,2.949917596880514,3.3340903851314447
2015.0-8.0,3.6187,3.3038896173702037,3.113628095784243,3.4941511389561644
2015.0-9.0,3.9478,3.588536001044949,3.397924435484842,3.779147566605056
2016.0-3.0,3.5925,4.020353708208669,3.8226633365047618,4.218044079912575
2016.0-4.0,3.4352,3.765440634648666,3.5640317995739497,3.9668494697233823
2016.0-6.0,3.2126,3.5893669280011338,3.382783226623679,3.7959506293785887
2016.0-11.0,3.3827,3.162163319770329,2.956444140734472,3.367882498806186
2018.0-4.0,3.5066,3.3038625620210125,3.1066206504630607,3.5011044735789643
2018.0-5.0,3.7225,3.4430973844131483,3.239981839879332,3.6462129289469645
2018.0-6.0,3.8765,3.648418427420292,3.4411903428934125,3.8556465119471715
2018.0-8.0,4.0545,3.8436239496363163,3.638598425488021,4.048649473784612
2018.0-10.0,3.7218,4.0702166427382585,3.8641727347999537,4.276260550676564
2019.0-1.0,3.6439,3.913107380104792,3.705967944844194,4.120246815365391
2019.0-8.0,4.1445,3.8736324345492896,3.670721057826527,4.076543811272052
2019.0-12.0,4.019,4.258243154693603,4.052053094259331,4.464433215127875
2020.0-2.0,4.4733,4.2426229782927924,4.031892580117617,4.453353376467968
2020.0-3.0,5.2046,4.438939963251938,4.227467536138844,4.650412390365032
2020.0-4.0,5.4858,5.010686218647782,4.790611137401471,5.230761299894094
2020.0-7.0,5.224,5.556831654093194,5.337905233867858,5.77575807431853
2020.0-11.0,5.3319,5.841324157705591,5.6187929931047185,6.0638553223064635
2020.0-12.0,5.1937,5.59413394333888,5.369771886812538,5.818495999865222
2021.0-4.0,5.4366,5.673629723393457,5.44306715882393,5.904192287962984
2021.0-5.0,5.2172,5.638610833511123,5.4066952457953406,5.870526421226906
2021.0-6.0,4.9686,5.487104914196179,5.248298425742894,5.725911402649463
2022.0-1.0,5.3041,5.728184812105836,5.495023253458749,5.961346370752922
2022.0-2.0,5.1599,5.57430152506619,5.332638698836465,5.815964351295914
2022.0-3.0,4.739,5.364881321849058,5.129340154195198,5.600422489502918
2022.0-5.0,4.7315,5.010684641406434,4.775800943112312,5.245568339700556
2022.0-6.0,5.2562,4.681283015754829,4.453901518956346,4.908664512553313
2023.0-6.0,4.786,5.028170632357437,4.78760223146666,5.268739033248214
2024.0-6.0,5.5925,5.263068336095033,5.011823175546798,5.514313496643268
2024.0-10.0,5.7867,5.5178452496168156,5.284027238249762,5.751663260983869
