Date,Actual Cotacao,Predicted Cotacao,Lower Bound,Upper Bound
2003.0-7.0,2.9675,2.6185375553558456,2.3377649125716897,2.8993101981400016
2003.0-8.0,2.9785,2.667149340091171,2.3582053627038357,2.9760933174785063
2003.0-10.0,2.8665,3.192411143007587,2.9298385666201447,3.4549837193950292
2004.0-9.0,2.8595,3.0005251282078556,2.8837472585388024,3.1173029978769087
2008.0-3.0,1.7564,2.4003931208786717,2.232297472778204,2.5684887689791394
2008.0-9.0,1.9066,1.5208970824931412,1.242623164439549,1.7991710005467334
2008.0-10.0,2.1642,1.816897962400584,1.5502485450992565,2.0835473797019115
2008.0-11.0,2.3034,1.9941290704862886,1.725077671680651,2.2631804692919264
2011.0-9.0,1.879,1.5707533986156765,1.3373570430796342,1.8041497541517189
2012.0-3.0,1.8264,1.5825969861624127,1.3630350334907337,1.8021589388340917
2015.0-3.0,3.1947,2.821856970591888,2.587996489620575,3.055717451563201
2015.0-7.0,3.4204,3.1294569751119754,2.9133467226058136,3.345567227618137
2015.0-10.0,3.8562,4.153672003065958,3.9157372803033663,4.3916067258285505
2016.0-3.0,3.5925,3.989869474307832,3.760886485738892,4.218852462876772
2016.0-4.0,3.4352,3.7399050109992267,3.4822353504346943,3.997574671563759
2016.0-6.0,3.2126,3.576878239523431,3.3198510815252846,3.8339053975215776
2018.0-10.0,3.7218,4.118446672328251,3.864707733735412,4.372185610921091
2019.0-1.0,3.6439,3.9587391752678704,3.7053163376138953,4.212162012921846
2020.0-3.0,5.2046,4.528626830067644,4.270737308112947,4.786516352022341
2020.0-4.0,5.4858,5.14496772230469,4.867937643592513,5.421997801016867
2020.0-7.0,5.224,5.538982207825416,5.26132034697546,5.816644068675372
2020.0-11.0,5.3319,5.912140347518229,5.642417549705019,6.181863145331439
2020.0-12.0,5.1937,5.581929704267932,5.3032358275062155,5.860623581029648
2021.0-5.0,5.2172,5.60578357591036,5.319519902883468,5.892047248937252
2021.0-6.0,4.9686,5.439989593450199,5.151183132434889,5.7287960544655085
2022.0-1.0,5.3041,5.7255842327621345,5.420204675476544,6.030963790047725
2022.0-2.0,5.1599,5.53132056151564,5.229683393855549,5.832957729175732
2022.0-3.0,4.739,5.368207165128856,5.055462139065179,5.680952191192533
2022.0-6.0,5.2562,4.816444048731734,4.509093986496777,5.123794110966691
2023.0-8.0,4.9544,4.617520111447805,4.303295443623756,4.931744779271853
2024.0-6.0,5.5925,5.28520594795039,5.004638816809575,5.565773079091205
2024.0-10.0,5.7867,5.4277652311313185,5.142428860951827,5.71310160131081
