Date,Actual Cotacao,Predicted Cotacao,Lower Bound,Upper Bound
2003.0-2.0,3.57,3.049921527802596,2.8510327706689287,3.2488102849362637
2003.0-7.0,2.9675,2.6389546527677346,2.3825826986525844,2.8953266068828847
2006.0-3.0,2.164,2.124383239029738,2.0913832543386257,2.1573832237208506
2006.0-5.0,2.3051,2.143187786211047,1.9925904594014368,2.2937851130206575
2008.0-2.0,1.6914,1.081654114714045,0.9554392498882144,1.2078689795398758
2008.0-7.0,1.567,1.894342023248671,1.6703538801111226,2.1183301663862193
2008.0-9.0,1.9066,1.6114580745410776,1.3910862052597452,1.83182994382241
2008.0-10.0,2.1642,1.8087903446868414,1.5873521902171224,2.0302284991565607
2011.0-9.0,1.879,1.5920176571503273,1.3975508469738607,1.786484467326794
2012.0-3.0,1.8264,1.548499442160281,1.3525215918578646,1.7444772924626972
2013.0-10.0,2.239,2.1421264320522466,2.1141189596278087,2.1701339044766845
2015.0-3.0,3.1947,2.875042281892351,2.672370671560035,3.0777138922246667
2015.0-5.0,3.1788,2.9605470288866607,2.75851775278691,3.1625763049864113
2015.0-7.0,3.4204,3.133571696782535,2.927545585660175,3.3395978079048954
2015.0-12.0,3.9593,3.79282336105703,3.630562004728551,3.9550847173855086
2016.0-1.0,3.9973,4.238478698843641,4.0796955796452705,4.397261818042012
2016.0-3.0,3.5925,3.961316005009564,3.8116130249799025,4.111018985039226
2016.0-4.0,3.4352,3.7352915095900308,3.4798679310417686,3.990715088138293
2016.0-6.0,3.2126,3.6877297972558645,3.512622897779804,3.8628366967319248
2016.0-11.0,3.3827,3.051572486188096,2.8611768824103105,3.241968089965882
2018.0-10.0,3.7218,4.108588390319416,3.852473337197155,4.364703443441678
2019.0-1.0,3.6439,3.9709291155449438,3.7243511887202985,4.217507042369589
2019.0-8.0,4.1445,3.7923135608771044,3.594179854093367,3.9904472676608416
2020.0-1.0,4.282,3.97196854243067,3.7441792721291267,4.199757812732213
2020.0-2.0,4.4733,4.196724485476997,3.9314958992326345,4.46195307172136
2020.0-3.0,5.2046,4.473549192508729,4.209394793580168,4.73770359143729
2020.0-4.0,5.4858,5.107198047310452,4.828818375473628,5.385577719147276
2020.0-5.0,5.3361,5.712428415886199,5.5001593855270245,5.924697446245374
2020.0-7.0,5.224,5.537975542937858,5.26134748257365,5.814603603302065
2020.0-11.0,5.3319,5.8124613667265015,5.516160029818863,6.10876270363414
2020.0-12.0,5.1937,4.947427722949215,4.72968596265488,5.165169483243551
2021.0-5.0,5.2172,5.640315965182026,5.335916449286577,5.944715481077475
2021.0-6.0,4.9686,5.522048409809603,5.290016891795102,5.754079927824104
2022.0-3.0,4.739,5.361406742534486,4.911783885993497,5.811029599075475
2022.0-5.0,4.7315,4.981068915802478,4.748641938287248,5.213495893317708
2022.0-6.0,5.2562,4.5788172443298425,4.317781257595698,4.839853231063987
2023.0-2.0,5.2367,4.951003842455959,4.801178423663759,5.100829261248159
2023.0-8.0,4.9544,4.588147095319276,4.292925622844402,4.88336856779415
2024.0-10.0,5.7867,5.399937395691971,5.133066277803751,5.666808513580191
