t,ano,mes,cotacao,ipca_acumulado,cpi,selic,divida_pp,fed_rate,cotacao_1,ipca_acumulado_1,cpi_1,selic_1,divida_pp_1,fed_rate_1,cotacao_2,ipca_acumulado_2,cpi_2,selic_2,divida_pp_2,fed_rate_2,cotacao_3,ipca_acumulado_3,cpi_3,selic_3,divida_pp_3,fed_rate_3,cotacao_4,ipca_acumulado_4,cpi_4,selic_4,divida_pp_4,fed_rate_4,cotacao_5,ipca_acumulado_5,cpi_5,selic_5,divida_pp_5,fed_rate_5
299,2024,11,5.973,158.42000000000002,316.441,11.044736842105268,77.72,4.64,5.7867,158.03000000000003,315.454,10.650000000000004,77.75,4.83,5.4482,157.47000000000003,314.686,10.495238095238099,77.44,5.13,5.6103,157.03000000000003,314.121,10.400000000000004,77.65,5.33,5.65,157.05,313.534,10.400000000000004,77.44,5.33,5.5925,156.67000000000002,313.049,10.400000000000002,76.85,5.33
298,2024,10,5.7867,158.03000000000003,315.454,10.650000000000004,77.75,4.83,5.4482,157.47000000000003,314.686,10.495238095238099,77.44,5.13,5.6103,157.03000000000003,314.121,10.400000000000004,77.65,5.33,5.65,157.05,313.534,10.400000000000004,77.44,5.33,5.5925,156.67000000000002,313.049,10.400000000000002,76.85,5.33,5.2443,156.46,313.225,10.459523809523812,75.81,5.33
297,2024,9,5.4482,157.47000000000003,314.686,10.495238095238099,77.44,5.13,5.6103,157.03000000000003,314.121,10.400000000000004,77.65,5.33,5.65,157.05,313.534,10.400000000000004,77.44,5.33,5.5925,156.67000000000002,313.049,10.400000000000002,76.85,5.33,5.2443,156.46,313.225,10.459523809523812,75.81,5.33,5.1934,156.0,313.207,10.650000000000004,75.26,5.33
296,2024,8,5.6103,157.03000000000003,314.121,10.400000000000004,77.65,5.33,5.65,157.05,313.534,10.400000000000004,77.44,5.33,5.5925,156.67000000000002,313.049,10.400000000000002,76.85,5.33,5.2443,156.46,313.225,10.459523809523812,75.81,5.33,5.1934,156.0,313.207,10.650000000000004,75.26,5.33,5.0153,155.62,312.23,11.000000000000004,75.09,5.33
295,2024,7,5.65,157.05,313.534,10.400000000000004,77.44,5.33,5.5925,156.67000000000002,313.049,10.400000000000002,76.85,5.33,5.2443,156.46,313.225,10.459523809523812,75.81,5.33,5.1934,156.0,313.207,10.650000000000004,75.26,5.33,5.0153,155.62,312.23,11.000000000000004,75.09,5.33,4.9716,155.46,311.054,11.150000000000004,74.85,5.33
294,2024,6,5.5925,156.67000000000002,313.049,10.400000000000002,76.85,5.33,5.2443,156.46,313.225,10.459523809523812,75.81,5.33,5.1934,156.0,313.207,10.650000000000004,75.26,5.33,5.0153,155.62,312.23,11.000000000000004,75.09,5.33,4.9716,155.46,311.054,11.150000000000004,74.85,5.33,4.9526,154.63000000000002,309.685,11.650000000000004,74.5,5.33
293,2024,5,5.2443,156.46,313.225,10.459523809523812,75.81,5.33,5.1934,156.0,313.207,10.650000000000004,75.26,5.33,5.0153,155.62,312.23,11.000000000000004,75.09,5.33,4.9716,155.46,311.054,11.150000000000004,74.85,5.33,4.9526,154.63000000000002,309.685,11.650000000000004,74.5,5.33,4.8521,154.21,308.742,11.875000000000004,73.83,5.33
292,2024,4,5.1934,156.0,313.207,10.650000000000004,75.26,5.33,5.0153,155.62,312.23,11.000000000000004,75.09,5.33,4.9716,155.46,311.054,11.150000000000004,74.85,5.33,4.9526,154.63000000000002,309.685,11.650000000000004,74.5,5.33,4.8521,154.21,308.742,11.875000000000004,73.83,5.33,4.9205,153.65,308.024,12.175000000000004,73.32,5.33
291,2024,3,5.0153,155.62,312.23,11.000000000000004,75.09,5.33,4.9716,155.46,311.054,11.150000000000004,74.85,5.33,4.9526,154.63000000000002,309.685,11.650000000000004,74.5,5.33,4.8521,154.21,308.742,11.875000000000004,73.83,5.33,4.9205,153.65,308.024,12.175000000000004,73.32,5.33,5.035,153.37000000000003,307.531,12.650000000000004,73.32,5.33
290,2024,2,4.9716,155.46,311.054,11.150000000000004,74.85,5.33,4.9526,154.63000000000002,309.685,11.650000000000004,74.5,5.33,4.8521,154.21,308.742,11.875000000000004,73.83,5.33,4.9205,153.65,308.024,12.175000000000004,73.32,5.33,5.035,153.37000000000003,307.531,12.650000000000004,73.32,5.33,5.032,153.13000000000002,307.288,12.975000000000003,73.01,5.33
289,2024,1,4.9526,154.63000000000002,309.685,11.650000000000004,74.5,5.33,4.8521,154.21,308.742,11.875000000000004,73.83,5.33,4.9205,153.65,308.024,12.175000000000004,73.32,5.33,5.035,153.37000000000003,307.531,12.650000000000004,73.32,5.33,5.032,153.13000000000002,307.288,12.975000000000003,73.01,5.33,4.9544,152.87000000000003,306.187,13.193478260869565,72.9,5.33
288,2023,12,4.8521,154.21,308.742,11.875000000000004,73.83,5.33,4.9205,153.65,308.024,12.175000000000004,73.32,5.33,5.035,153.37000000000003,307.531,12.650000000000004,73.32,5.33,5.032,153.13000000000002,307.288,12.975000000000003,73.01,5.33,4.9544,152.87000000000003,306.187,13.193478260869565,72.9,5.33,4.7241,152.64000000000004,304.628,13.650000000000002,72.49,5.12
287,2023,11,4.9205,153.65,308.024,12.175000000000004,73.32,5.33,5.035,153.37000000000003,307.531,12.650000000000004,73.32,5.33,5.032,153.13000000000002,307.288,12.975000000000003,73.01,5.33,4.9544,152.87000000000003,306.187,13.193478260869565,72.9,5.33,4.7241,152.64000000000004,304.628,13.650000000000002,72.49,5.12,4.786,152.52000000000004,304.003,13.650000000000002,71.97,5.08
286,2023,10,5.035,153.37000000000003,307.531,12.650000000000004,73.32,5.33,5.032,153.13000000000002,307.288,12.975000000000003,73.01,5.33,4.9544,152.87000000000003,306.187,13.193478260869565,72.9,5.33,4.7241,152.64000000000004,304.628,13.650000000000002,72.49,5.12,4.786,152.52000000000004,304.003,13.650000000000002,71.97,5.08,5.0574,152.60000000000002,303.365,13.65,72.1,5.06
285,2023,9,5.032,153.13000000000002,307.288,12.975000000000003,73.01,5.33,4.9544,152.87000000000003,306.187,13.193478260869565,72.9,5.33,4.7241,152.64000000000004,304.628,13.650000000000002,72.49,5.12,4.786,152.52000000000004,304.003,13.650000000000002,71.97,5.08,5.0574,152.60000000000002,303.365,13.65,72.1,5.06,4.9865,152.37000000000003,303.032,13.650000000000004,71.56,4.83
284,2023,8,4.9544,152.87000000000003,306.187,13.193478260869565,72.9,5.33,4.7241,152.64000000000004,304.628,13.650000000000002,72.49,5.12,4.786,152.52000000000004,304.003,13.650000000000002,71.97,5.08,5.0574,152.60000000000002,303.365,13.65,72.1,5.06,4.9865,152.37000000000003,303.032,13.650000000000004,71.56,4.83,5.0631,151.76000000000002,301.744,13.65,71.54,4.65
283,2023,7,4.7241,152.64000000000004,304.628,13.650000000000002,72.49,5.12,4.786,152.52000000000004,304.003,13.650000000000002,71.97,5.08,5.0574,152.60000000000002,303.365,13.65,72.1,5.06,4.9865,152.37000000000003,303.032,13.650000000000004,71.56,4.83,5.0631,151.76000000000002,301.744,13.65,71.54,4.65,5.2367,151.05,301.509,13.650000000000004,71.78,4.57
282,2023,6,4.786,152.52000000000004,304.003,13.650000000000002,71.97,5.08,5.0574,152.60000000000002,303.365,13.65,72.1,5.06,4.9865,152.37000000000003,303.032,13.650000000000004,71.56,4.83,5.0631,151.76000000000002,301.744,13.65,71.54,4.65,5.2367,151.05,301.509,13.650000000000004,71.78,4.57,5.0731,150.20999999999998,300.356,13.65,71.39,4.33
281,2023,5,5.0574,152.60000000000002,303.365,13.65,72.1,5.06,4.9865,152.37000000000003,303.032,13.650000000000004,71.56,4.83,5.0631,151.76000000000002,301.744,13.65,71.54,4.65,5.2367,151.05,301.509,13.650000000000004,71.78,4.57,5.0731,150.20999999999998,300.356,13.65,71.39,4.33,5.286,149.67999999999998,298.812,13.65,71.68,4.1
280,2023,4,4.9865,152.37000000000003,303.032,13.650000000000004,71.56,4.83,5.0631,151.76000000000002,301.744,13.65,71.54,4.65,5.2367,151.05,301.509,13.650000000000004,71.78,4.57,5.0731,150.20999999999998,300.356,13.65,71.39,4.33,5.286,149.67999999999998,298.812,13.65,71.68,4.1,5.1851,149.05999999999997,298.648,13.650000000000002,72.95,3.78
279,2023,3,5.0631,151.76000000000002,301.744,13.65,71.54,4.65,5.2367,151.05,301.509,13.650000000000004,71.78,4.57,5.0731,150.20999999999998,300.356,13.65,71.39,4.33,5.286,149.67999999999998,298.812,13.65,71.68,4.1,5.1851,149.05999999999997,298.648,13.650000000000002,72.95,3.78,5.1791,148.64999999999998,297.863,13.650000000000002,73.7,3.08
278,2023,2,5.2367,151.05,301.509,13.650000000000004,71.78,4.57,5.0731,150.20999999999998,300.356,13.65,71.39,4.33,5.286,149.67999999999998,298.812,13.65,71.68,4.1,5.1851,149.05999999999997,298.648,13.650000000000002,72.95,3.78,5.1791,148.64999999999998,297.863,13.650000000000002,73.7,3.08,5.4154,148.05999999999997,296.341,13.650000000000002,74.15,2.56
277,2023,1,5.0731,150.20999999999998,300.356,13.65,71.39,4.33,5.286,149.67999999999998,298.812,13.65,71.68,4.1,5.1851,149.05999999999997,298.648,13.650000000000002,72.95,3.78,5.1791,148.64999999999998,297.863,13.650000000000002,73.7,3.08,5.4154,148.05999999999997,296.341,13.650000000000002,74.15,2.56,5.1831,148.34999999999997,295.209,13.584782608695651,74.57,2.33
276,2022,12,5.286,149.67999999999998,298.812,13.65,71.68,4.1,5.1851,149.05999999999997,298.648,13.650000000000002,72.95,3.78,5.1791,148.64999999999998,297.863,13.650000000000002,73.7,3.08,5.4154,148.05999999999997,296.341,13.650000000000002,74.15,2.56,5.1831,148.34999999999997,295.209,13.584782608695651,74.57,2.33,5.1734,148.70999999999998,294.977,13.150000000000002,75.24,1.68
275,2022,11,5.1851,149.05999999999997,298.648,13.650000000000002,72.95,3.78,5.1791,148.64999999999998,297.863,13.650000000000002,73.7,3.08,5.4154,148.05999999999997,296.341,13.650000000000002,74.15,2.56,5.1831,148.34999999999997,295.209,13.584782608695651,74.57,2.33,5.1734,148.70999999999998,294.977,13.150000000000002,75.24,1.68,5.2562,149.39,294.996,12.88809523809524,75.61,1.21
274,2022,10,5.1791,148.64999999999998,297.863,13.650000000000002,73.7,3.08,5.4154,148.05999999999997,296.341,13.650000000000002,74.15,2.56,5.1831,148.34999999999997,295.209,13.584782608695651,74.57,2.33,5.1734,148.70999999999998,294.977,13.150000000000002,75.24,1.68,5.2562,149.39,294.996,12.88809523809524,75.61,1.21,4.7315,148.71999999999997,291.359,12.513636363636367,75.68,0.77
273,2022,9,5.4154,148.05999999999997,296.341,13.650000000000002,74.15,2.56,5.1831,148.34999999999997,295.209,13.584782608695651,74.57,2.33,5.1734,148.70999999999998,294.977,13.150000000000002,75.24,1.68,5.2562,149.39,294.996,12.88809523809524,75.61,1.21,4.7315,148.71999999999997,291.359,12.513636363636367,75.68,0.77,4.9721,148.24999999999997,288.764,11.650000000000004,76.33,0.33
272,2022,8,5.1831,148.34999999999997,295.209,13.584782608695651,74.57,2.33,5.1734,148.70999999999998,294.977,13.150000000000002,75.24,1.68,5.2562,149.39,294.996,12.88809523809524,75.61,1.21,4.7315,148.71999999999997,291.359,12.513636363636367,75.68,0.77,4.9721,148.24999999999997,288.764,11.650000000000004,76.33,0.33,4.739,147.18999999999997,287.553,11.150000000000004,76.4,0.2
271,2022,7,5.1734,148.70999999999998,294.977,13.150000000000002,75.24,1.68,5.2562,149.39,294.996,12.88809523809524,75.61,1.21,4.7315,148.71999999999997,291.359,12.513636363636367,75.68,0.77,4.9721,148.24999999999997,288.764,11.650000000000004,76.33,0.33,4.739,147.18999999999997,287.553,11.150000000000004,76.4,0.2,5.1599,145.56999999999994,284.535,10.492105263157898,76.91,0.08
270,2022,6,5.2562,149.39,294.996,12.88809523809524,75.61,1.21,4.7315,148.71999999999997,291.359,12.513636363636367,75.68,0.77,4.9721,148.24999999999997,288.764,11.650000000000004,76.33,0.33,4.739,147.18999999999997,287.553,11.150000000000004,76.4,0.2,5.1599,145.56999999999994,284.535,10.492105263157898,76.91,0.08,5.3041,144.55999999999992,282.39,9.150000000000002,76.98,0.08
269,2022,5,4.7315,148.71999999999997,291.359,12.513636363636367,75.68,0.77,4.9721,148.24999999999997,288.764,11.650000000000004,76.33,0.33,4.739,147.18999999999997,287.553,11.150000000000004,76.4,0.2,5.1599,145.56999999999994,284.535,10.492105263157898,76.91,0.08,5.3041,144.55999999999992,282.39,9.150000000000002,76.98,0.08,5.5703,144.01999999999992,280.808,8.758695652173916,77.31,0.08
268,2022,4,4.9721,148.24999999999997,288.764,11.650000000000004,76.33,0.33,4.739,147.18999999999997,287.553,11.150000000000004,76.4,0.2,5.1599,145.56999999999994,284.535,10.492105263157898,76.91,0.08,5.3041,144.55999999999992,282.39,9.150000000000002,76.98,0.08,5.5703,144.01999999999992,280.808,8.758695652173916,77.31,0.08,5.6239,143.2899999999999,278.799,7.650000000000003,78.21,0.08
267,2022,3,4.739,147.18999999999997,287.553,11.150000000000004,76.4,0.2,5.1599,145.56999999999994,284.535,10.492105263157898,76.91,0.08,5.3041,144.55999999999992,282.39,9.150000000000002,76.98,0.08,5.5703,144.01999999999992,280.808,8.758695652173916,77.31,0.08,5.6239,143.2899999999999,278.799,7.650000000000003,78.21,0.08,5.6372,142.3399999999999,276.434,6.3000000000000025,79.51,0.08
266,2022,2,5.1599,145.56999999999994,284.535,10.492105263157898,76.91,0.08,5.3041,144.55999999999992,282.39,9.150000000000002,76.98,0.08,5.5703,144.01999999999992,280.808,8.758695652173916,77.31,0.08,5.6239,143.2899999999999,278.799,7.650000000000003,78.21,0.08,5.6372,142.3399999999999,276.434,6.3000000000000025,79.51,0.08,5.4428,141.08999999999992,273.887,5.435714285714288,79.62,0.08
